Interview ID;Scenario;Iteration;R.SA.1;R.SA.2;R.SA.3;R.SA.4.1;R.SA.4.2;R.SA.5.1;R.SA.5.2;R.SA.6.1;R.SA.6.2;R.SA.7;R.SA.8;R.SK.1;R.SK.2;R.SK.3;R.SK.4;R.SK.5;R.SK.6;R.SK.7;R.SK.8;R.SK.9;R.SK.10.1;R.SK.10.2;R.SK.11.1;R.SK.11.2;R.SK.12.1;R.SK.12.2;HAL_1;HAL_2;HAL_3;HAL_4;HAL_5;HAL_6;HAL_7;HAL_8;HAL_9;HAL_10;HAL_11
1fa79326-df01-46c6-b09a-582a6f7396a9;Salon;1;E38;;;;;AA38;AC38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1fa79326-df01-46c6-b09a-582a6f7396a9;Salon;2;E39,M39;;;;K39;AM39;AO39;;;AC39;;;;;;;;;;;;;;;;;;;;;;;;;;;
1fa79326-df01-46c6-b09a-582a6f7396a9;Salon;3;I40;;;;AS40;AE40,AG40;AI40;;;U40;;;;;;;;;;;;;;;;;;;;;;;;;;;
55e944c3-0821-491c-be8c-daccf374e827;Salon;1;E59,G59;Q59;AC59;;;AG59;AI59;I59;;;;;;;;;;;;;;;;;;;AO59;AQ59;;;;;;;;;
55e944c3-0821-491c-be8c-daccf374e827;Salon;2;AQ60;G60;AA60;;;AC60;AI60;E60;;Y60;;;;;;;;;;;;;;;;;;;;;;;;;;;
55e944c3-0821-491c-be8c-daccf374e827;Salon;3;AU61;K61,S61;AC61;;;AE61;AK61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5ef30849-40da-4787-aea5-6ce30d8316b0;Salon;1;E32;AE32;;;AC32;Y32;AA32;AS32,BE32;;S32,BA32;U32;;;;;;;;;;;;;;;;AO32;AU32;AW32;AY32;BC32;;;;;;
5ef30849-40da-4787-aea5-6ce30d8316b0;Salon;2;AQ33;AE33;;;AW33;;;AI33;;AS33;Y33;;;;;;;;;;;;;;;;AA33;AO33;;;;;;;;;
5ef30849-40da-4787-aea5-6ce30d8316b0;Salon;3;AI34;;;;BC34;AY34;BA34;;;AS34,AU34,AW34;S34;;;;;;;;;;;;;;;;;;;;;;;;;;
62eae299-e773-4cb1-8873-915c1b853e58;Salon;1;E50,AK50;;;;M50,AQ50;I50,AM50;K50;AI50;;;;;;;;;;;;;;;;;;;S50;U50;W50;AO50;;;;;;;
62eae299-e773-4cb1-8873-915c1b853e58;Salon;2;E51;;;;K51;;;;;;;;;;;;;;;;;;;;;;AE51;;;;;;;;;;
62eae299-e773-4cb1-8873-915c1b853e58;Salon;3;E52;;;;O52,BC52;K52;M52,BI52;;;;;;;;;;;;;;;;;;;;U52;W52;Y52;AM52;AO52;AQ52;AS52;AU52;AW52;AY52;BA52
77b8b3ae-8c49-4ef3-9cc7-81965d1ab986;Salon;1;G5;O5;W5,AO5;AA5,AC5;AE5,AG5;;;E5,M5;;;;;;;;;;;;;;;;;;;I5;;;;;;;;;;
77b8b3ae-8c49-4ef3-9cc7-81965d1ab986;Salon;2;I6;;W6;;AI6;;;G6;;;;;;;;;;;;;;;;;;;E6;;;;;;;;;;
77b8b3ae-8c49-4ef3-9cc7-81965d1ab986;Salon;3;;G7;O7;;U7;;;E7;;;;;;;;;;;;;;;;;;;I7;AG7;;;;;;;;;
959a0116-b74b-40bb-93a5-2e302ebe719b;Salon;1;E56;;;;;Q56;S56,AC56;;;;O56;;;;;;;;;;;;;;;;BE56;;;;;;;;;;
959a0116-b74b-40bb-93a5-2e302ebe719b;Salon;2;E57,O57;;;;K57;I57,AM57;AO57;M57;;;AI57;;;;;;;;;;;;;;;;;;;;;;;;;;
959a0116-b74b-40bb-93a5-2e302ebe719b;Salon;3;E58;;;;K58;I58,AC58;AE58,AS58;M58,AW58;;G58;AA58;;;;;;;;;;;;;;;;;;;;;;;;;;
d08c455a-35cc-43ce-aaf2-ddae7520e4ff;Salon;1;E23;;;;;O23;AG23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d08c455a-35cc-43ce-aaf2-ddae7520e4ff;Salon;2;E24;K24;;;G24;I24;AO24;O24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
